GeoFips,GeoName,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
18000,Indiana,3849,4151,4503,5136,5472,5907,6540,7197,7968,8732,9365,10292,10686,11243,12460,13154,13868,14664,15646,16942,17768,18121,19411,20232,21297,22047,23089,24096,25790,26600,28153,28639,28918,29521,30791,31566,33123,34055,35408,34267,35695,37799,39433,39766,41188,42667,43645,45015,46945,48749,52194,56435,57930
19000,Iowa,3923,4082,4559,5466,5657,6293,6640,7300,8406,9016,9607,10894,11268,11548,12924,13505,14141,14954,15446,16803,17628,17924,19086,19053,20677,21388,23209,24197,25207,25740,27390,28162,28772,29383,31704,32621,34448,36680,38703,37286,38312,41036,42873,43439,44699,46104,46291,47246,49163,50367,53280,57080,58905
20000,Kansas,3956,4298,4772,5417,5848,6358,6850,7413,8151,9251,10075,11342,12213,12643,13827,14524,15193,15805,16533,17433,18438,18934,20115,20853,21599,22349,23688,24958,26221,26927,28253,29112,29248,30074,30843,32545,35690,38057,41257,39431,39960,43015,45294,46174,47013,47332,47326,48651,50663,52876,55935,58857,60152
21000,Kentucky,3261,3476,3801,4227,4698,5039,5536,6135,6769,7535,8152,9056,9611,9949,11111,11588,11936,12624,13743,14784,15613,16345,17407,17871,18604,19307,20314,21388,22445,23224,24868,25596,26057,26687,28087,29241,30660,31728,33002,32397,33409,34799,35875,36058,37645,39232,39750,40751,41974,43875,47489,51298,52109
22000,Louisiana,3195,3427,3698,4098,4620,5113,5672,6234,7029,7846,8849,10059,10656,11017,11704,12166,12184,12415,13263,14185,15369,16084,17066,17809,18840,19630,20409,21352,22312,22746,23997,25663,26289,27022,28065,30139,33850,36432,38522,36930,38242,39124,41003,41376,43085,43113,42725,44056,46057,47668,50804,54181,54622
23000,Maine,3569,3764,4047,4498,4933,5266,5915,6340,6939,7636,8567,9401,10188,10896,11930,12807,13779,14766,16013,17223,17756,17986,18833,19395,20187,21053,22139,23247,24805,25779,27491,28824,29572,30805,32211,32925,34451,35686,37163,37157,38106,39690,40411,40329,41797,43672,44740,46378,48141,50728,54861,58272,59463
24000,Maryland,4867,5252,5679,6221,6751,7265,7887,8505,9407,10311,11473,12680,13685,14557,15959,17109,18174,19276,20769,22127,23104,23605,24503,25239,26161,27070,28119,29432,31483,33036,35591,37076,38035,39394,41641,43515,45576,47327,49186,48448,49668,51845,52787,52249,53659,55825,57632,59155,60577,62313,65680,69710,70730
25000,Massachusetts,4552,4834,5203,5632,6090,6560,7078,7712,8522,9481,10684,11873,13013,14044,15739,16893,18152,19552,21358,22477,23118,23486,24628,25471,26607,27964,29545,31180,32914,34967,38594,39872,39540,40267,42407,44371,47750,50085,51810,50772,52894,54812,56669,56628,58924,62376,64295,66679,69693,73213,78685,83593,84945
26000,Michigan,4200,4530,5001,5554,5918,6340,7070,7913,8778,9566,10230,10995,11499,12332,13612,14720,15562,16061,17089,18332,19051,19298,20280,21219,22687,23801,24821,25990,27430,28629,30344,30749,30602,31279,32168,32946,33812,34929,35969,34307,35760,37781,39266,39566,41207,43425,44527,45716,47457,49142,53378,56569,56813
27000,Minnesota,4117,4353,4714,5500,5903,6340,6801,7612,8487,9360,10282,11321,12070,12696,14351,15143,15937,16878,17556,18992,19935,20322,21581,21947,23242,24320,25932,27087,29162,30303,32448,33490,33955,35293,37211,38065,39667,41655,43161,41079,42724,45323,47726,47838,49967,51985,52596,54266,56539,58543,62210,66232,68010
28000,Mississippi,2736,2974,3327,3736,4056,4360,4887,5375,5917,6633,7166,8008,8395,8744,9514,9976,10326,10942,11744,12717,13356,13964,14888,15667,16737,17488,18386,19221,20174,20709,21681,22845,23219,24064,25306,26835,27981,29554,30785,30157,31287,32546,33657,34259,34896,35533,36021,36902,37900,39445,42698,45887,46248
29000,Missouri,3945,4222,4562,5045,5386,5883,6409,7070,7828,8695,9370,10445,11174,11885,13103,13948,14616,15296,16162,17277,17920,18559,19578,20265,21296,22236,23321,24507,25540,26342,27941,28690,29168,30085,31510,32467,34119,35502,37312,36385,37118,38533,40317,40569,41963,43322,44410,45239,47085,49001,52112,55310,56551
30000,Montana,3735,3920,4492,5149,5521,5978,6337,6739,7768,8298,9142,10303,10741,11151,11698,11843,12443,12916,13356,14726,15469,16298,16971,17950,18095,18728,19411,20159,21461,21794,23081,23996,24554,26125,28131,30074,32193,34183,35792,34689,36393,38558,40701,40674,42494,43941,44063,46036,47612,50289,54062,56848,57719
31000,Nebraska,3897,4234,4645,5382,5570,6336,6597,7123,8208,8843,9386,10859,11646,12022,13354,14103,14609,15362,16371,17338,18487,18989,19984,20478,21617,22593,24371,24915,26421,27545,29039,30275,30599,32348,33627,34666,36019,38531,40535,39535,41248,45674,46670,46653,48957,50556,49360,50144,51916,54182,57387,61210,63321
32000,Nevada,5191,5501,5847,6381,6746,7331,7994,8815,10045,10945,11951,12991,13343,13892,14760,15561,16305,17075,18458,19653,20516,21228,22554,23360,24335,25379,26667,27534,29314,30405,31986,32461,32130,33121,35232,38109,39767,40212,38836,36231,37494,38777,39909,39664,41773,44493,45450,47485,49678,52602,55378,60167,61282
33000,New Hampshire,3997,4225,4557,5005,5406,5786,6418,7050,7932,8896,10039,11229,12219,13269,14717,15894,17081,18365,19696,20685,20682,21436,22337,22831,24088,25228,26339,27975,30319,31852,35335,36747,36974,37371,39434,40619,43153,44695,45886,45101,47098,49131,51123,50865,52643,54684,56321,58362,60831,64747,68505,73279,74663
34000,New Jersey,4909,5229,5642,6143,6673,7203,7817,8554,9475,10493,11801,13131,14142,15190,16708,17788,18902,20251,22120,23692,24754,25072,26713,27374,28110,29588,31052,32804,34663,35965,39216,40245,40474,41198,42876,44467,47695,50473,51779,49854,51076,52947,54574,54813,57065,59175,60533,62465,64914,68438,71567,77009,78700
35000,New Mexico,3420,3677,4039,4421,4858,5391,5846,6382,7148,7878,8647,9604,10282,10819,11626,12392,12665,13059,13689,14532,15314,16034,16800,17616,18291,19223,19826,20576,21380,21587,23102,24601,25255,26097,27399,28858,30597,31950,33649,32911,33710,35045,35749,35088,37219,38103,38775,39458,41218,43530,46742,50292,51500
36000,New York,4920,5234,5603,6022,6533,7066,7510,8158,8949,9831,11001,12277,13327,14286,15749,16815,17915,19064,20827,22461,23990,23868,25061,25581,26259,27576,28936,30443,32040,33740,36090,37283,37088,37576,39329,40884,44128,47428,48184,47027,48768,50904,53102,53395,55290,57481,59280,62913,64849,67366,71743,76753,78089
37000,North Carolina,3397,3626,4025,4491,4881,5229,5745,6211,6922,7568,8348,9317,9872,10637,11863,12635,13477,14349,15522,16708,17485,17967,19236,20085,20951,21987,23040,24251,25440,26239,27510,27838,27852,28715,30635,32345,34385,36211,37835,35933,35872,36902,39103,38394,40293,42076,42936,44591,46352,48741,51938,56095,57416
38000,North Dakota,3397,3868,4576,6383,6304,6549,6357,6564,8235,8445,8053,10462,11141,11573,12429,12912,13248,13814,12920,14671,16084,16340,17849,18009,19460,19404,21627,21196,23285,23705,25892,26541,27218,29678,30107,31967,33357,36709,41075,40212,44264,49000,56443,54900,57523,53991,52005,52521,55396,57110,60821,64276,66184
